Fahrenheit,Celsius
0,-17.77778
1,-17.22222
2,-16.66667
3,-16.11111
4,-15.55556
5,-15.00000
6,-14.44444
7,-13.88889
8,-13.33333
9,-12.77778
10,-12.22222
11,-11.66667
12,-11.11111
13,-10.55556
14,-10.00000
15,-9.44444
16,-8.88889
17,-8.33333
18,-7.77778
19,-7.22222
20,-6.66667
21,-6.11111
22,-5.55556
23,-5.00000
24,-4.44444
25,-3.88889
26,-3.33333
27,-2.77778
28,-2.22222
29,-1.66667
30,-1.11111
31,-0.55556
32,0.00000
33,0.55556
34,1.11111
35,1.66667
36,2.22222
37,2.77778
38,3.33333
39,3.88889
40,4.44444
41,5.00000
42,5.55556
43,6.11111
44,6.66667
45,7.22222
46,7.77778
47,8.33333
48,8.88889
49,9.44444
50,10.00000
51,10.55556
52,11.11111
53,11.66667
54,12.22222
55,12.77778
56,13.33333
57,13.88889
58,14.44444
59,15.00000
60,15.55556
61,16.11111
62,16.66667
63,17.22222
64,17.77778
65,18.33333
66,18.88889
67,19.44444
68,20.00000
69,20.55556
70,21.11111
71,21.66667
72,22.22222
73,22.77778
74,23.33333
75,23.88889
76,24.44444
77,25.00000
78,25.55556
79,26.11111